TYPE;TICKER;Nom;Catégorie - 1;Catégorie - 2;;
Token;-;EGLD;;;;
Token;USDC-c76f1f;USDC;Stablecoin;;;
Token;UTK-2f80e9;UTK;Payment;;;
Token;BHAT-c1fde3;BHAT;Launchpad;;;
Token;RIDE-7d18e9;RIDE;Automotive;;;
Token;CYBER-489c1c;CYBER;Gaming;;;
Token;ZPAY-247875;ZPAY;Payment;;;
Token;USDT-f8c08c;USDT;Stablecoin;;;
Token;MEX-455c57;MEX;Dex;DeFi;;
Token;MOOVE-875539;MOOVE;NFT-PFP-COMMUNITY;;;
Token;CRT-52decf;CRT;Gaming;;;
Token;SFIT-aebc90;SFIT;Sport;;;
Token;BUSD-40b57e;BUSD;Stablecoin;;;
Token;ASH-a642d1;ASH;DeFi;;;
Token;QWT-46ac01;QWT;Automotive;;;
Token;AERO-458bbf;AERO;Startup;;;
Token;HTM-f51d55;HTM;DeFi;;;
Token;ITHEUM-df6f26;ITHEUM;Data;;;
Token;ONE-f9954f;ONE;Dex;DeFi;;
Token;PROTEO-0c7311;PROTEO;DeFi;;;
Token;CRU-a5f4aa;CRU;Storage;;;
Token;WAM-510e42;WAM;Gaming;;;
Token;LEGLD-d74da9;LEGLD;Liquid EGLD;;;
Token;OFE-29eb54;OFE;DeFi;;;
Token;CHARGED-703583;CHARGED;IRL;Startups;;
Token;RARE-99e8b0;RARE;NFT-PFP-COMMUNITY;Degen;;
Token;EFFORT-a13513;EFFORT;DAO;;;
Token;ISET-84e55e;ISET;Marketplace;;;
Token;KRO-df97ec;KRO;Gaming;Launchpad;Marketplace;
Token;SUPER-507aa6;SUPER;DAO;;;
Token;INFRA-43985c;INFRA;Tools;;;
Token;BSK-baa025;BSK;DeFi;;;
Token;PLATA-9ba6c3;PLATA;Gaming;;;
Token;XAPES-1d15a5;XAPES;NFT-PFP-COMMUNITY;;;
Token;SEGLD-3ad2d0;SEGLD;Liquid EGLD;;;
Token;LAND-40f26f;LAND;Metaverse;;;
Token;EXR-401c82;EXR;Dex;DeFi;;
Token;LAUNCH-3e2258;LAUNCH;Launchpad;;;
Token;INSTANT-086961;INSTANT;Social Media;;;
Token;JEX-9040ca;JEX;Dex;DeFi;;
Token;KOSON-5dd4fa;KOSON;Gaming;;;
Token;ESTAR-461bab;ESTAR;Gaming;;;
Token;EPUNKS-46b186;EPUNKS;NFT-PFP-COMMUNITY;DAO;;
Token;HYPE-619661;HYPE;NFT-PFP-COMMUNITY;Degen;;
Token;MID-ecb7bf;MID;Stacking;;;
Token;VITAL-ab7917;VITAL;DAO;Startups;;
Token;GIANT-761d27;GIANTS;Gaming;;;
Token;WATER-9ed400;WATER;DeFi;AI;;
Token;EVO-cd02a2;EVO;AI;;;
Token;XBONK-7cde03;xBonk;Degen;;;
Token;CPA-97530a;CPA;ART;;;
Token;XLH-8daa50;XLH;Launchpad;;;
Token;CTP-298075;CTP;Launchpad;DAO;;
Token;UPARK-982dd6;UPARK;Automotive;Startups;;
Token;BFY-8344ff;BFY;DeFi;;;
Token;CYC-b4ed61;CYC;Automotive;Startups;;
NFT;SUN-5b0883;Sunwave;Music;;;
NFT;WHALES-f14e05;Dreamy Whales;Music;;;
NFT;GUARDIAN-3d6635;Aquaverse;Sustainabilty;Startups;;
Token;BEE-cb37b6;Globees;Sustainabilty;Real Estate;;
NFT;REWAY-bbe55c;REWAY;Real Estate;;;
NFT;EAPES-8f3c1f;Eapes;NFT-PFP-COMMUNITY;Launchpad;;
Token;NEX-079037;Nex;Automotive;;;
Token;EVLD-43f56f;Evoload;Logistique;Automotive;;
NFT;WATY-2c4433;WATY;DAO;Marketing;;
NFT;SUBJECTX-2c184d;Project X;Tools;DAO;;
NFT;XCAPSULE-78c42c;Project X;Tools;DAO;;
NFT;XBOX-634ad5;Project X;Tools;DAO;;
NFT;XKEY-d6ccf4;Project X;Tools;DAO;;
NFT;SUBJECTX-1e3de1;Project X;Tools;DAO;;
NFT;BLOKICOR01-3f4e24;Blok;Real Estate;;;
NFT;BLOKICOR02-3f4e24;Blok;Real Estate;;;
Token;BKT-fcf3f8;Blok;Real Estate;;;
Token;COOL-985c14;Coolok orion;Art;;;
Token;CPA-97530a;CPA;Marketplace;Art;;
NFT;CGPASS-73ac68;Club Gorgon;Art;;;
NFT;OLARI-4d50cc;Olari;Art;;;
NFT;CABINX-094b2d;Cabin X;Art;;;
NFT;UEX-e1c239;Univexe;Art;;;
NFT;ECPT-6a5728;Ecompass;Tools;;;
NFT;FRAMEITFC-4d1023;Frame it;Marketplace;;;
Token;EFTR-315177;Eneftor;Marketplace;;;
NFT;RGLA-0cbcbe;Nft marketplace;Marketplace;;;
Token;FIXX-074526;FixxFi;DeFi;;;
Token;HODL-b8bd81;Hodl;DeFi;;;
NFT;MAFIA-bd0abc-0816;Mafia;Gaming;;;
