type,identifier,name,ticker,owner,minted,burnt,initialMinted,decimals,isPaused,transactions,accounts,canUpgrade,canMint,canBurn,canChangeOwner,canAddSpecialRoles,canPause,canFreeze,canWipe,supply,circulatingSupply,price,marketCap,canTransferNftCreateRole,timestamp,canTransfer,website,description,status,pngUrl,svgUrl,ledgerSignature,twitter,email,blog,whitepaper,coinmarketcap,coingecko,discord
FungibleESDT,007-be5989,iGOLD,007-be5989,erd13nfwkp6e50c35klwsa9j4spa6elatqn3zzxdc5pt0spumfkg5gyqrh35sz,0,0,1000000000,0,False,28,25,True,True,True,True,True,True,True,True,1000000000,1000000000,,,,,,,,,,,,,,,,,,
FungibleESDT,10000000-1ae709,Corb,10000000-1ae709,erd123sle0lxhqvaztgeh4kjdmqwm3vzt3snd4umzfsuurrcr07lev8q8umlf6,0,0,10000000000000000000000000,18,False,3,3,True,False,False,False,True,False,False,False,10000000,10000000,,,,,,,,,,,,,,,,,,
FungibleESDT,101-12ce46,101NFT,101-12ce46,erd1yre7348szrme4uj278k7hpfcf9rrs22x5fvk3zs6efdk4d83wdmsfj7qvr,0,0,1000000000000000000,10,False,158,74,True,False,True,True,True,True,True,True,100000000,100000000,,,,,,,,,,,,,,,,,,
FungibleESDT,111-fb2a95,cucu,111-fb2a95,erd1wlsm92vfz5mdq8qrlwcjuszhv7z4acw5vxvp2klq5aqssqp8tt5qd9e3ly,0,0,1000000000000000000000000,18,False,29,23,True,False,False,True,True,True,True,True,1000000,1000000,,,,,,,,,,,,,,,,,,
FungibleESDT,1984-80fe29,09081984,1984-80fe29,erd1ml656p9frypfp3fxlym5sydsvrrfcnz9km0uacvx0c8s9px4adtstq2avv,0,0,1000000000000,10,False,2,1,True,False,False,False,True,False,False,False,100,100,,,,,,,,,,,,,,,,,,
FungibleESDT,1984-86605f,09081984,1984-86605f,erd1ml656p9frypfp3fxlym5sydsvrrfcnz9km0uacvx0c8s9px4adtstq2avv,0,0,10000000,1,False,1,1,True,False,False,False,True,False,False,False,1000000,1000000,,,,,,,,,,,,,,,,,,
FungibleESDT,313-9a0520,hello,313-9a0520,erd16xc8an9x8rc5n5z28d64j8egu8m2rh23yrpf3f590m8ehh3kd32qj9dvkn,0,0,10,1,False,2,1,True,False,False,True,True,True,True,True,1,1,,,,,,,,,,,,,,,,,,
FungibleESDT,333666LFG-f9b2f7,PONZI,333666LFG-f9b2f7,erd102lu3stdvsz6p2h3ckh2482k9nxlr5trnrfdlfqay60xjv03ptksu70z9x,0,0,10000000000000000000000000000000,18,False,3,1,True,True,True,True,True,True,True,True,10000000000000,10000000000000,,,,,,,,,,,,,,,,,,
FungibleESDT,420-be8200,peintre,420-be8200,erd1lf3vwcyak37w55gdkcc4lfzkq6rey4lu00t6pt3cqw2usplg3p4s83qgm2,0,0,5000000000000,6,False,42,15,True,False,False,False,True,False,False,False,5000000,5000000,,,,,,,,,,,,,,,,,,
FungibleESDT,468-c1fba7,DRIFT,468-c1fba7,erd1zxj60mungyj5uydjww8qryvklq8eu3qdq7uwq79s7nyj0chpe9zq42r43w,0,0,46000000000000000000000000,18,False,23,6,True,True,False,True,True,False,False,False,46000000,46000000,,,,,,,,,,,,,,,,,,
